# Program:featureCounts v2.1.1; Command:"featureCounts" "-g" "gene_id" "-a" "clean_anno.gtf" "-o" "fcounts.txt" "SRR941816.bam" "SRR941817.bam" "SRR941818.bam" "SRR941819.bam" 
Geneid	SRR941816.bam	SRR941817.bam	SRR941818.bam	SRR941819.bam
YCR082W	837	692	44	204
YCR083W	1872	1015	54	127
YCR084C	1178	1971	468	1690
YCR085W	2	4	0	0
YCR086W	90	178	31	65
YCR087C-A	30	178	275	964
YCR088W	1117	2122	49	223
YCR089W	94	89	9	45
YCR090C	269	429	30	174
YCR091W	1322	1117	15	54
YCR092C	63	91	68	255
YCR093W	1048	1015	120	491
YCR094W	215	318	47	184
YCR095C	395	457	38	157
YCR095W-A	22	19	4	6
YCR096C	1	1	0	0
YCR097W	894	704	68	258
YNCC0014W	0	0	0	0
YCR098C	924	967	12	36
YCR099C	17	12	0	2
YCR100C	24	22	0	1
YCR101C	18	7	0	4
YCR102C	253	213	8	8
YCR104W	15	10	1	1
YCR105W	81	66	6	18
YCR106W	103	102	16	43
YCR107W	75	78	5	38
YCR108C	0	0	0	0
YDL248W	241	221	13	58
YDL247W	50	18	1	3
YDL246C	0	0	0	0
YDL245C	4	3	0	0
YDL244W	11	11	0	2
YDL243C	56	41	6	17
YDL242W	12	17	2	7
YDL241W	18	73	13	40
YDL240W	62	106	15	53
YDL239C	283	170	8	26
YDL238C	504	352	7	12
YDL237W	819	959	49	184
YDL236W	242	728	108	460
YDL235C	186	335	167	737
YDL234C	7501	4919	98	283
YDL233W	473	492	36	147
YDL232W	73	250	46	166
YDL231C	1106	894	247	894
YDL230W	158	235	55	223
YDL229W	788	3185	2785	8300
YDL227C	0	3	2	4
YDL226C	83	305	60	365
YDL225W	178	442	117	481
YDL224C	214	210	72	348
YDL223C	14033	1039	103	133
YDL222C	6814	2330	78	107
YDL220C	95	190	15	60
YDL219W	41	214	35	124
YDL218W	37	23	2	28
YDL217C	85	177	55	174
YDL216C	117	151	15	44
YDL215C	7657	5901	114	279
YDL214C	331	239	32	155
YDL213C	168	376	557	1687
YDL212W	498	850	268	1096
YDL211C	1	7	6	15
YNCD0001W	0	0	0	0
YDL210W	56	29	4	12
YDL209C	48	32	95	335
YDL208W	378	566	1174	4402
YDL207W	399	488	107	448
YDL206W	150	104	37	162
YDL205C	83	132	86	292
YDL204W-A	21	29	1	4
YDL204W	2877	1327	45	86
YDL203C	267	231	91	291
YDL202W	69	341	50	259
YDL201W	93	156	348	1122
YDL200C	751	392	31	106
YDL199C	821	381	18	50
YDL198C	47	236	45	140
YDL197C	444	487	8	55
YDL195W	1783	2638	99	482
YDL194W	905	909	40	110
YDL193W	146	258	51	229
YDL192W	534	1664	587	2679
YDL191W	614	1095	960	4262
YDL190C	421	542	66	316
YDL189W	52	136	119	501
YDL188C	359	295	47	288
YDL186W	52	36	12	35
YDL185W	7222	7511	560	2214
YDL184C	1592	2132	484	1785
YDL183C	96	59	16	104
YDL182W	844	599	312	877
YDL181W	1630	2077	36	116
YDL180W	294	359	57	170
YDL179W	134	262	22	80
YDL178W	810	1184	264	885
YDL177C	101	81	60	208
YDL176W	246	181	68	215
YDL175C	377	322	71	245
YDL174C	2889	5315	585	1924
YDL173W	2312	2230	147	585
YDL171C	1948	999	281	948
YDL170W	525	346	365	952
YDL169C	1876	1176	25	62
YDL168W	15292	13380	676	2790
YDL167C	68	80	348	1038
YDL166C	121	202	202	639
YDL165W	600	633	87	338
YDL164C	72	368	10	53
YDL161W	204	504	41	214
YDL160C-A	88	92	12	48
YDL160C	1098	1103	105	278
YDL159W-A	11	7	1	4
YDL159W	376	446	73	234
YDL157C	151	358	29	114
YDL156W	21	64	7	21
YDL155W	104	169	89	292
YDL154W	19	53	9	57
YDL153C	767	801	564	1668
YDL150W	138	258	389	1329
YDL149W	731	370	15	76
YDL148C	196	309	649	2001
YDL147W	4386	4985	203	722
YDL146W	88	143	20	93
YDL145C	324	1076	217	813
YDL144C	1102	1207	101	490
YDL143W	1611	2037	545	1930
YDL142C	377	449	13	58
YDL141W	211	228	33	187
YDL140C	1124	1340	338	1255
YDL139C	92	111	33	120
YDL138W	138	154	164	546
YDL137W	5169	5033	304	1072
YDL136W	442	615	800	3062
YDL135C	609	1071	83	411
