gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
YOR210W	690.388114281381	2.36968313235255	0.404218394646832	5.86238321594186	4.56270503238072e-09	2.57454367771232e-08
YOR328W	422.111034193658	-3.62266310310081	0.618270209647144	-5.85935250732575	4.64675383896565e-09	2.6194453546508e-08
YBR141C	214.193228525389	2.75904715163898	0.471148599200925	5.85600202636359	4.74142434362039e-09	2.67024253659467e-08
YPL038W	147.548496968633	2.84957681348499	0.486673619171995	5.85521117485911	4.76404279398492e-09	2.6804033279894e-08
YNL210W	78.512198659161	3.20760184380592	0.547924831095125	5.85409103908461	4.79625857212865e-09	2.69593919932414e-08
YNL029C	178.60962929201	2.69556920373765	0.460631687981718	5.85189702329952	4.85997517349987e-09	2.7291346683786e-08
YBR191W	5192.54742786117	2.92402936354139	0.499992218331931	5.84814974380303	4.97070987207153e-09	2.78864441769377e-08
YPR148C	1658.401030628	-2.41269794079535	0.412848749982625	-5.84402384867798	5.09547282967874e-09	2.85590280989745e-08
YHR070W	307.342895402556	2.7388717863518	0.469146430919058	5.83798917746502	5.28345884353151e-09	2.95843388590478e-08
YIL059C	109.778873907513	-3.32652080985708	0.56986260317002	-5.8374085110207	5.3018990286646e-09	2.96592384058153e-08
YGL234W	1505.60393973375	2.71976562631224	0.466123994173665	5.83485437417523	5.38375675536115e-09	3.00884191947999e-08
YLR065C	237.009599982711	2.74260710191846	0.470080974499835	5.83432908518918	5.40074357656219e-09	3.01545806748567e-08
YLR096W	343.427621452275	2.68140695018635	0.459742572266098	5.83240950902054	5.46326350076319e-09	3.04746041180667e-08
YML013W	286.62419657948	-2.75284206419798	0.472445529464117	-5.82679249250269	5.65027957764595e-09	3.14878092162439e-08
YGL101W	275.880407512796	2.72000490101272	0.467041417162645	5.82390512074327	5.74882210728452e-09	3.20065124357086e-08
YKL143W	846.994576079489	2.368827685406	0.406821149797304	5.82277417628423	5.78787383017256e-09	3.21933305064774e-08
YLR020C	307.223947318967	2.4827525760359	0.426710127704235	5.81835868155623	5.94282721069588e-09	3.302385101807e-08
YHR133C	210.985622913868	2.6117498128773	0.44929975378718	5.81293399531754	6.13872707307811e-09	3.40801179782166e-08
YDL189W	229.04712653304	2.90122281688592	0.49950733379701	5.80816861052319	6.31598937197907e-09	3.50310130224256e-08
YGR068C	199.146194267645	2.99402477217012	0.515509183019322	5.80789803711003	6.32620212483522e-09	3.50544615375212e-08
YLR423C	169.778869150976	-3.06197312114506	0.527306467748238	-5.80681882060092	6.36709702787344e-09	3.52477195578967e-08
YPL189W	59.9861052485088	3.71179934316206	0.639717613000108	5.8022465971426	6.54322354727022e-09	3.61885366537882e-08
YFR016C	463.572741218363	-2.58749214025055	0.445987570445678	-5.80171357166939	6.56406204976872e-09	3.6269539080656e-08
YGL116W	157.73130245824	-3.11399285571392	0.536894087818743	-5.8000133105679	6.63096559202374e-09	3.66046799929152e-08
YMR037C	555.179294690046	2.40238342673724	0.414216253912967	5.79982896383882	6.63825917585327e-09	3.66104369048706e-08
YNR020C	105.840516149474	3.30154416980148	0.569314141742197	5.7991606526727	6.66476603883144e-09	3.67220458037966e-08
YLR215C	200.584461042091	2.61821338578499	0.45163161233239	5.79723233336917	6.74182624761798e-09	3.71117258762204e-08
YDR018C	190.298177175111	-3.35960240689695	0.579780050322518	-5.79461539773243	6.84779254410425e-09	3.76596440664963e-08
YGR065C	192.654607915197	2.67022274640572	0.460895842269985	5.79354921765934	6.89142770938541e-09	3.78640638779271e-08
YLR350W	1065.48511872794	-2.35491830056408	0.406748524655588	-5.7896173134447	7.0546970000189e-09	3.87247988089135e-08
YPL086C	685.90699202528	2.34349663348875	0.40481803868168	5.78901236990458	7.08014842326568e-09	3.88281173362052e-08
YDL138W	291.37176226608	2.49455815427766	0.430994292749789	5.78791458782927	7.12656298510055e-09	3.90460986003123e-08
YNL308C	1741.93758716838	2.30354418451424	0.398076386091475	5.78668884917203	7.17873726105911e-09	3.92952001289936e-08
YFL016C	1722.22673290842	-2.46321668988203	0.425974601928644	-5.78254355712656	7.35795090945932e-09	4.0238579343327e-08
YOR337W	295.223338100611	2.6033425394155	0.450494421318046	5.77885633255724	7.52101135234496e-09	4.10919435547429e-08
YIR038C	3367.03215042801	-3.61442186199139	0.62623426318034	-5.77167694982944	7.84864792613987e-09	4.28420604877924e-08
YER102W	2291.33411876037	2.76844757092506	0.47969638947833	5.77124954793958	7.86858438580284e-09	4.28709755792067e-08
YML016C	348.081035147463	2.43805219059546	0.422441277690172	5.77133987456496	7.86436693797092e-09	4.28709755792067e-08
YNL009W	460.109810601494	-3.5091936631892	0.608202727759278	-5.76977626542002	7.93768479967096e-09	4.32072675387294e-08
YKL163W	840.431471574964	-2.81459784079458	0.487838104772242	-5.76953258316842	7.94917079305464e-09	4.32296131243464e-08
YCL047C	95.8728850484859	3.09784667396498	0.537278556784329	5.76581111389579	8.12660367072192e-09	4.41535414651376e-08
YER131W	3586.37418864746	3.4479277053809	0.598154295721221	5.76427809688064	8.20080972114386e-09	4.45154240377568e-08
YJL102W	142.884235124753	-3.16390889174505	0.548941063400599	-5.76365861964335	8.23098219538396e-09	4.46378358503369e-08
YFR031C-A	4620.78312872106	2.99127320953146	0.519962868868492	5.75285926866444	8.77465290436075e-09	4.75422220729333e-08
YLR325C	5041.48446925036	2.4880233778781	0.432709374861512	5.74987167466475	8.93112104281115e-09	4.83452642770286e-08
YDR461C-A	245.544673724005	-3.272953041397	0.569511735540464	-5.7469457381611	9.08698743633085e-09	4.91435691732131e-08
YDR410C	60.9275569543401	3.59643788909406	0.625874319460032	5.74626211249066	9.12378390917672e-09	4.92516150746986e-08
YNL327W	221.717948339722	-2.70242364816227	0.470281802679256	-5.74639212652119	9.11677470675409e-09	4.92516150746986e-08
YGR173W	492.678316397867	2.38068756208468	0.414895942620644	5.73803529397597	9.57811588181517e-09	5.16565605154617e-08
YGR122W	470.520798819119	-2.8420825451602	0.495514098153451	-5.73562398275107	9.7153990538525e-09	5.23487509277038e-08
YPL147W	372.746120939158	-3.87231745688096	0.675308141726855	-5.73414892789375	9.80031918897964e-09	5.27577844575862e-08
YPL196W	373.8531123607	-2.56975944446875	0.448627803460242	-5.72804321232062	1.01595690648061e-08	5.46415023072262e-08
YBL039W-B	78.432257133439	-3.7852313025214	0.66095154043919	-5.72694225057132	1.02256958383925e-08	5.49466977297841e-08
YNL204C	69.5528095225633	3.27605346404737	0.572240738631747	5.72495672342476	1.03460110889169e-08	5.55422428485667e-08
YAL008W	422.795137985709	-2.79054312768854	0.487740355668781	-5.72137018242461	1.05668381304492e-08	5.66757975549825e-08
YPR172W	343.513839087203	-2.69309881054154	0.470763520290608	-5.720704120997	1.06083495536064e-08	5.68463891449887e-08
YLR370C	677.533151200347	-2.37000975277729	0.414418417524014	-5.71888133480448	1.07227643781225e-08	5.74069752857983e-08
YNL108C	250.629250066752	2.60208885008988	0.455100620797905	5.71761217448522	1.08031358394138e-08	5.77844443940153e-08
YLR292C	399.079163892831	2.45603709942449	0.429782768346199	5.71460114344579	1.09961630833569e-08	5.8763254725567e-08
YDL130W	3769.57501990665	2.78729938571547	0.488078633273903	5.71075887305085	1.12473509032707e-08	6.00508060532878e-08
YJR145C	4337.65289458045	2.79123360297556	0.489007109431846	5.70796119144067	1.1433748102724e-08	6.09904031308331e-08
YLR054C	106.653677631038	-3.19945938291939	0.561248105284687	-5.70061502710375	1.19375949273158e-08	6.36201032659588e-08
YOL140W	492.476581919885	2.72646167546419	0.478447708311421	5.69855728870904	1.2082553263803e-08	6.43341040600854e-08
YHR040W	472.234529106711	2.43204315290517	0.426832486889525	5.6978867063946	1.21301611911947e-08	6.45289319680538e-08
YMR223W	135.543782806453	2.70661124266473	0.475059080128508	5.69742029124581	1.21633817162335e-08	6.46469389400903e-08
YDR447C	3391.34535057161	2.99892491824384	0.526398356903059	5.69706360006006	1.21888467646072e-08	6.47235498642833e-08
YBL047C	847.218461461994	-2.38268084836773	0.418309834276919	-5.6959713904082	1.22671448467165e-08	6.50803146442195e-08
YNL138W	633.71055951484	-2.61881974861675	0.460444245761401	-5.68759360709614	1.28841982984214e-08	6.82920809356147e-08
YOL020W	418.92174616833	2.39322073629093	0.421365586249668	5.67967772971593	1.34948761332375e-08	7.14642762318009e-08
YPL265W	1463.15640083462	-2.84678155225843	0.501300212674059	-5.67879581991995	1.35646280446834e-08	7.17687682544813e-08
YBR271W	269.745446840071	2.57460023684147	0.453430636186152	5.6780465001145	1.36241682837012e-08	7.20187307198896e-08
YDR123C	344.786887548777	-2.48732930094667	0.438327305743666	-5.6745935476839	1.39018332221561e-08	7.34202319045703e-08
YBR138C	102.062958056365	-3.23389946237233	0.570314164213971	-5.67038251071567	1.42479050080957e-08	7.51801618310056e-08
YPR143W	1034.70400813492	2.34802421334921	0.414330742780474	5.66702870656467	1.45295008071789e-08	7.6597017306613e-08
YOR042W	1239.77676437091	-2.30001462754747	0.40587268245655	-5.66683772267353	1.45456980706754e-08	7.66134474819656e-08
YHL013C	279.057308745263	2.6317335097503	0.46494986992049	5.66025216912169	1.51150725516697e-08	7.95408624754083e-08
YNL014W	962.789704133358	-4.2695534660712	0.75500276586911	-5.65501698680053	1.55830860121231e-08	8.19301030278321e-08
YPL090C	2201.66440879178	2.631171916336	0.465307783332054	5.65469139049054	1.56126539234312e-08	8.20119408336649e-08
YKL096W-A	6622.118004473	-2.29541786780751	0.406228110464475	-5.65056383021589	1.59922408041319e-08	8.39306042919359e-08
YDR020C	136.008126720165	2.72503076479962	0.482357422648472	5.64940153680509	1.61007374430119e-08	8.44243681322476e-08
YPL247C	444.75821272017	-2.57454277512429	0.455806346238287	-5.64832586551652	1.62017849061509e-08	8.48782237883059e-08
YLR219W	555.373774288241	-2.61244788462848	0.462830711522391	-5.64449985619007	1.65662120060453e-08	8.67098335294077e-08
YPL249C-A	4994.24631139803	2.49030091725767	0.441411761825451	5.64167322356585	1.68405492102963e-08	8.80670506470585e-08
YFL001W	300.987452930744	2.6966971642076	0.478408375551893	5.63681010203194	1.73228954003264e-08	9.05086515251666e-08
YEL073C	199.362292338225	-2.90103963276126	0.514968878003613	-5.63342709953222	1.7666321502381e-08	9.22207175039624e-08
YCR023C	858.948103742511	-2.35072810334819	0.41749802229091	-5.63051314698257	1.79674243949196e-08	9.37089979350349e-08
YDL074C	805.697372380132	2.2954602450077	0.407707174960829	5.63016887114688	1.80033263804694e-08	9.38127069487629e-08
YPL087W	799.967582041517	-2.38888791865813	0.42443927024083	-5.62833857786689	1.81953668707619e-08	9.47291233440468e-08
YDL051W	1563.62474847457	2.20994656901935	0.39270522436044	5.62749470068413	1.82845778602105e-08	9.51090342160329e-08
YKL016C	1809.93474644043	-2.49878424336925	0.444141164262503	-5.6261036905203	1.84325571872983e-08	9.57936889494286e-08
YLL009C	214.251077629121	-2.64876920059028	0.47102680342321	-5.62339378850678	1.87241904736753e-08	9.72230351102094e-08
YKL027W	450.932668288801	2.4999935552663	0.444776786950935	5.6207824432665	1.90094533978036e-08	9.85705534066524e-08
YPR192W	120.583902161345	-4.09091882297347	0.727829479620508	-5.62071053388286	1.90173681662143e-08	9.85705534066524e-08
YFL034C-B	138.616117622078	2.82589882658549	0.503031590501566	5.61773630114924	1.93475475015025e-08	1.0019326765367e-07
YOL094C	163.223100715497	2.81906755196727	0.50237450976383	5.61148604711759	2.00596465096576e-08	1.03789178098113e-07
YHL007C	623.542765120574	2.39330235189249	0.426528220545898	5.61112310184163	2.0101769847361e-08	1.03915327445714e-07
YPR070W	251.570327608339	2.54198799212545	0.453092818925843	5.61030297975545	2.01972695239697e-08	1.04316937920538e-07
YAL016W	1439.33701988022	-2.28513302754658	0.407391957256395	-5.60917560311191	2.03292668966289e-08	1.04906181685952e-07
YHR171W	124.912059008515	-3.00814097403459	0.536358688289887	-5.60845016536541	2.0414646236439e-08	1.05254034336992e-07
YOR006C	552.142859444881	2.30674545973815	0.411669314879912	5.60339422045835	2.10194414042748e-08	1.08276929028001e-07
YMR195W	727.978133533246	-2.93208067562281	0.523656490594019	-5.59924440599744	2.15288094747692e-08	1.10803371787103e-07
YGL096W	359.475680259105	-3.30771691192298	0.5908791786808	-5.59795814655005	2.16891094337656e-08	1.1153038977486e-07
YPR167C	57.5243804238678	3.41027926213178	0.609395096177892	5.5961711597631	2.19137368261985e-08	1.12586628588636e-07
YLR312C	476.815008635519	-3.6905608113234	0.659589604421918	-5.59523798826076	2.20319340322762e-08	1.13094686789695e-07
YOR378W	169.979269718531	2.5615197152484	0.458106170403865	5.59154161357437	2.25062337882394e-08	1.15428206040033e-07
YLR018C	587.154765032712	2.51227622439416	0.449470934869573	5.58940752225318	2.27845667840337e-08	1.1675346251451e-07
YNL241C	1033.69198641218	-2.51358534186356	0.449986881366756	-5.58590804742794	2.32482228556633e-08	1.19025210896521e-07
YJL001W	697.100443691711	-2.62322153076183	0.469660182760574	-5.58536070769939	2.33215648655971e-08	1.19296423945679e-07
YOR241W	230.591478140288	2.45042586135782	0.438791467712906	5.58448839976327	2.34389161099983e-08	1.19792086960088e-07
YIL157C	439.529191883384	-2.68363665789395	0.481202371023853	-5.57693980639369	2.44786523447132e-08	1.24888037267408e-07
YKL171W	488.418722724095	-2.85091474086056	0.511189456664833	-5.57702179434775	2.44671225546687e-08	1.24888037267408e-07
YNL067W	4175.56116065678	2.46590095177243	0.442239209331654	5.57594374207364	2.46191486023881e-08	1.25495520769528e-07
YGR155W	3420.09351080049	2.27051440249411	0.407210223237211	5.57577946949401	2.46423945317319e-08	1.25504786758568e-07
YFR003C	161.314402690157	-3.06240758440206	0.549361926686494	-5.57448093076478	2.48268997601578e-08	1.26334623714374e-07
YGR162W	1560.85442186821	2.72330238795597	0.488547280118194	5.57428625392638	2.48546760835239e-08	1.26366178664236e-07
YJL198W	443.542093073852	2.33981544781464	0.420232657127569	5.56790484539698	2.57820543005824e-08	1.30967469244155e-07
YNL257C	195.46794842989	-2.85588558710936	0.513272543342319	-5.56407239029864	2.63550532025511e-08	1.33762172103416e-07
YNCM0031W	257.418879144278	-2.80652222419277	0.504669467282129	-5.56110960963648	2.68064759966646e-08	1.35935523733735e-07
YOR338W	2208.08529853811	2.54612373102158	0.458383654019725	5.55456921007923	2.78297233848912e-08	1.4088045796483e-07
YPR020W	738.550607181198	-2.35100619190408	0.423253217926368	-5.5546091378166	2.78233631836655e-08	1.4088045796483e-07
YER034W	109.19674995547	2.89622741784094	0.521473450911039	5.55393071839246	2.7931622375574e-08	1.41274190201845e-07
YMR142C	6706.16548656899	2.53862872304099	0.457221619214159	5.55229371569133	2.81945337817378e-08	1.42480918343087e-07
YDR099W	1740.67075006769	-2.43515358281845	0.438661473944392	-5.55132768082376	2.83508090947326e-08	1.43147145575732e-07
YML077W	116.639732038548	2.97856746140711	0.536832801923574	5.54840809044146	2.88282362629689e-08	1.45432368468742e-07
YPL207W	600.566982638757	2.31499395611407	0.417999570906245	5.53826873815933	3.05476274683617e-08	1.53973712635279e-07
YKL195W	749.637951419676	-2.55486049591549	0.461477556779318	-5.53626164129417	3.08995868953153e-08	1.55613826694636e-07
YMR136W	636.447241335377	-2.99743921603077	0.541606880612577	-5.53434478646312	3.1239392574118e-08	1.57189967617362e-07
